Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,17.6007391965402
2001,17.8265751260444
2002,17.9662721012718
2003,17.8292022583642
2004,18.3531880190612
2005,18.4335497490081
2006,18.7614317877565
2007,19.1463440112855
2008,19.5976574239489
2009,19.1894211767572
2010,19.1300478333117
2011,19.210331313482
2012,19.5393060440841
2013,19.0295593591481
2014,18.9655410709852
2015,18.3035013153302
2016,18.1019452123526
2017,17.9124343379574
2018,17.4499583782517
2019,17.2953168821434
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
