Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,51.573
1995,..
1996,..
1997,..
1998,..
1999,..
2000,50.678
2001,..
2002,..
2003,..
2004,..
2005,55.083
2006,..
2007,..
2008,..
2009,..
2010,46.485
2011,..
2012,45.004
2013,..
2014,..
2015,..
2016,..
2017,..
2018,41.43
2019,42.619
2020,42.805
2021,44.11
2022,45.236
2023,47.196
2024,..
