Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,39.14517
2001,..
2002,45.26156
2003,..
2004,41.5949
2005,..
2006,35.16781
2007,..
2008,30.98409
2009,..
2010,27.87211
2011,..
2012,24.29979
2013,..
2014,20.2535
2015,..
2016,17.23863
2017,..
2018,16.38228
2019,..
2020,23.68082
2021,..
2022,16.58153
2023,..
2024,..
2025,..
