Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,56.591
2004,..
2005,..
2006,..
2007,..
2008,..
2009,63.88
2010,63.88
2011,64.69
2012,64.48
2013,..
2014,64.7
2015,63.47
2016,63.11
2017,65.648
2018,..
2019,..
2020,..
2021,54.232
2022,59.299
2023,..
2024,..
