Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,86.88
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,64.6
2006,..
2007,..
2008,56.9
2009,..
2010,..
2011,..
2012,..
2013,..
2014,..
2015,..
2016,..
2017,63.038
2018,65.173
2019,60.154
2020,44.726
2021,54.858
2022,49.755
2023,61.532
2024,..
