Year,Value
1960,11.6999998092651
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,10.8000001907349
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,10.1999998092651
1981,..
1982,..
1983,..
1984,..
1985,9.5
1986,..
1987,..
1988,..
1989,..
1990,8.5
1991,7.4000000954
1992,7.0999999046
1993,6.5
1994,6.6999998093
1995,6.1999998093
1996,6.0999999046
1997,6.0999999046
1998,6.1999998093
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,2.41
2010,2.75
2011,2.82
2012,2.83
2013,2.78
2014,2.74
2015,2.7
2016,2.72
2017,2.7
2018,2.59
2019,2.54
2020,2.5
2021,2.67
2022,2.57
2023,2.51
2024,..
2025,..
