Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,730915
1972,772155
1973,..
1974,..
1975,790719
1976,..
1977,..
1978,..
1979,857808
1980,..
1981,..
1982,..
1983,866567
1984,859649
1985,..
1986,..
1987,..
1988,1221443
1989,..
1990,..
1991,1450992
1992,1531780
1993,1606865
1994,1660825
1995,1630442
1996,..
1997,..
1998,..
1999,2649499
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,..
2010,..
2011,..
2012,..
2013,..
2014,..
2015,..
2016,..
2017,..
2018,..
2019,..
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
