Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,983294
1971,1212599
1972,1369092
1973,1703006
1974,1752875
1975,1848192
1976,2164601
1977,2809190
1978,3273831
1979,3281591
1980,3190884
1981,3171564
1982,3008789
1983,2870455
1984,2854364
1985,2883000
1986,3039100
1987,3201850
1988,3365800
1989,3501500
1990,3546200
1991,3631500
1992,3696400
1993,3776750
1994,3836100
1995,3910232
1996,4099272
1997,4217947
1998,..
1999,..
2000,4763020
2001,4572065
2002,4792771
2003,5138036
2004,..
2005,..
2006,5766256
2007,6221145
2008,6343783
2009,6388302
2010,6417038
2011,6431127
2012,6550540
2013,6229458
2014,6211070
2015,6234124
2016,6219580
2017,6266954
2018,6359696
2019,6474893
2020,6589956
2021,6839233
2022,7059742
2023,7251617
2024,7407613
2025,..
