Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,3.11538461538462
2006,3.11538461538462
2007,3.18181818181818
2008,3.13636363636364
2009,3.13636363636364
2010,3.13636363636364
2011,3.3
2012,3.4
2013,3.45
2014,3.375
2015,3.3125
2016,3.41666666666667
2017,3.41666666666667
2018,3.33333333333333
2019,3.28571428571429
2020,3.6
2021,3.6
2022,3.41666666666667
2023,3.41666666666667
2024,3.41666666666667
2025,..
