Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,15.27139
1972,13.59815
1973,..
1974,..
1975,13.22019
1976,..
1977,..
1978,21.84443
1979,25.07091
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,19.36391
2005,22.31675
2006,..
2007,..
2008,23.3702
2009,29.80438
2010,29.93319
2011,31.51219
2012,..
2013,21.82037
2014,31.97081
2015,..
2016,..
2017,..
2018,..
2019,..
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
