Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,10.3635401658653
2002,10.1061322253008
2003,9.80499893827008
2004,9.14540895465844
2005,8.56152709047677
2006,7.86797004262315
2007,7.35063108286743
2008,6.8906440549182
2009,6.52944761681028
2010,6.15952886780258
2011,5.83094543590231
2012,5.57000152108009
2013,5.32877132896898
2014,5.24052896006188
2015,5.53387601928329
2016,5.80077695392325
2017,6.11610572836736
2018,6.04342631114664
2019,6.08201202617102
2020,5.94236286353913
2021,6.0188366409048
2022,5.71906432439058
2023,5.3357960756257
2024,..
2025,..
