Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,42.0358581542968
2004,..
2005,..
2006,..
2007,32.7626152038574
2008,..
2009,..
2010,..
2011,48.4398345947265
2012,..
2013,..
2014,..
2015,39.1638565063476
2016,..
2017,..
2018,..
2019,29.1348819732666
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
