Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,12.9019806350365
2002,13.0231526028047
2003,12.6092040996969
2004,11.8336433024573
2005,11.1365138619436
2006,10.5175224894114
2007,10.0871815463264
2008,9.92464058560509
2009,9.90975078587348
2010,10.0589495933977
2011,10.1196449042495
2012,10.116921137602
2013,9.93945297848607
2014,9.78403169402835
2015,9.55010818101172
2016,9.13632278726971
2017,9.4091475850994
2018,9.33835426438719
2019,10.3495989320684
2020,10.8532737378246
2021,12.2635767258698
2022,12.5931599099575
2023,12.6525281090068
2024,..
2025,..
