Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,83.304517149977
1992,83.088525312932
1993,82.8859635027553
1994,82.6139078901067
1995,82.3542061451981
1996,82.0774933709923
1997,81.8428535319857
1998,81.6543841254318
1999,81.4087735805198
2000,81.1715697316202
2001,81.0685991695239
2002,80.9769170370775
2003,80.8782658838413
2004,80.6577445832629
2005,80.4874700036057
2006,80.276979110895
2007,80.0329306192878
2008,79.8705217841186
2009,79.6490290385669
2010,79.3756004738067
2011,78.1296931714559
2012,76.8799855918877
2013,76.3513964303743
2014,75.768271305338
2015,75.118150297453
2016,74.4363498396603
2017,73.6533776875322
2018,73.0640715501015
2019,72.5594598148319
2020,72.5516675286937
2021,72.1776610575913
2022,71.7403515616901
2023,70.7827235479598
2024,70.1950000711577
2025,..
