Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,-778560.182904174
1980,..
1981,..
1982,2830892.29423805
1983,-2088205.81400104
1984,200667.218518295
1985,..
1986,..
1987,..
1988,-1859752.14575948
1989,..
1990,..
1991,108266.850720312
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,166150.140563755
2008,..
2009,..
2010,-1429752352.17218
2011,-8253949.88750048
2012,..
2013,..
2014,..
2015,..
2016,..
2017,..
2018,..
2019,..
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
