Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,13570432570
2010,14992795660
2011,17487124420
2012,17947786600
2013,32769446370
2014,41061223960
2015,46238329580
2016,52561603000
2017,69829925180
2018,76238872000
2019,88292113900
2020,84672852240
2021,92498228540
2022,156310937200
2023,..
2024,..
2025,..
