Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,..
2010,18.7808606204096
2011,..
2012,21.3908964663293
2013,21.9025963006957
2014,20.8264361605939
2015,23.4242020895927
2016,22.4296462082457
2017,22.3669634215042
2018,23.5382759038217
2019,23.6503202762658
2020,24.2803695915292
2021,24.2516233749871
2022,..
2023,..
2024,..
2025,..
