Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,16.9
1978,..
1979,..
1980,..
1981,..
1982,..
1983,17.5
1984,..
1985,..
1986,..
1987,17.2
1988,..
1989,..
1990,..
1991,..
1992,..
1993,17.3
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,16.8
2005,..
2006,..
2007,..
2008,..
2009,16.9
2010,..
2011,16.7
2012,..
2013,..
2014,..
2015,..
2016,..
2017,..
2018,..
2019,..
2020,..
2021,..
2022,17.5
2023,..
2024,..
2025,..
