Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,..
2010,..
2011,..
2012,..
2013,..
2014,27.6947164538978
2015,30.6615807131916
2016,25.3696486695567
2017,26.2065837757881
2018,21.1794829290818
2019,24.9534305605227
2020,27.4061700399883
2021,26.424103758562
2022,22.6344643915689
2023,23.443523054567
2024,22.4740408299341
2025,..
