Year,Value
1960,38.91
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,30.88
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,54.71
1981,50.7
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,81.075
2007,..
2008,..
2009,..
2010,..
2011,76.402
2012,..
2013,..
2014,..
2015,61.236
2016,..
2017,55.915
2018,..
2019,71.353
2020,..
2021,..
2022,69.059
2023,..
2024,..
