Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,31.2881753488683
2001,31.7087434420936
2002,31.7419634773852
2003,32.8230329882714
2004,33.9741773747051
2005,35.1225131480724
2006,36.3082374282218
2007,37.5761814141134
2008,38.8632329735263
2009,40.1596495006398
2010,41.4802190631092
2011,42.7735516177887
2012,44.1283185421492
2013,45.529984674652
2014,46.9428255166604
2015,48.3909273358928
2016,49.8540496593313
2017,51.3238898147764
2018,52.7837361641671
2019,54.2444074543503
2020,55.1861809905804
2021,56.1070680480859
2022,57.0318690086871
2023,57.8004059354749
2024,58.4951883486035
2025,..
